Argument1,Argument2,Label
Why does #InsulateBritain claim laws against blocking roads are #BadLaws?,"@retchid @grantshapps #Insulatebritain certainly do take climate change seriously
https://t.co/NE5BLyDnJ5",1
"Modern #Suffragettes? Sorry #InsulateBritain, THAT is an insult to the brave women who died over the 40 years of the #suffrage movement. They fought for freedom &amp; their voice in the world. They opened up freedom for women around the world #GMB https://t.co/WEuVLyQo2n","They can’t even remove people sat in the road nowadays. 

#InsulateBritain https://t.co/xgM7HLpxdB",1
You know if #XR or #InsulateBritain as there now called had super glued themselves to the house of commons front door... the public would have loved you and you would have been targeting the very place the laws are made that are fucking up the planet as you put it.,@GMB Deeds not Words. #InsulateBritain If only you could find someone to argue apart from people who support the English Defence League... @DawnNeesom,1
https://t.co/zIk7s6teRO well deserved but I  hope the #woke do not turn them into martyrs #InsulateBritain,"Hopefully ""Big Leroy"" is keeping those #InsulateBritain protesters nice and warm.",1
"@DJ_Knitwear You are right that it was awful to see the large global north country, India, try to wreck #COP26 at the 11th hour.
Fortunately, our government was able to still get a deal accomplished. Not ideal, but a good step in the right direction.
#InsulateBritain #Climate","@marccit1962 @LBC Personally I think it’s their brains that need the insulating 

#InsulateBritain",0
"@climatemorgan On the #ClimateCrisis the talking... the tweeting... the debating... the arguing... are long over... NOW is the time for action and quickly.
Direct peaceful mass civil disobedience
We should all join #InsulateBritain until governments shift lever into climate emergency mode",@BrummieBoy5 You’ll get arrested and thrown in prison ! #InsulateBritain,0
Banged up for being annoying for an hour in an attempt to save civilisation from disaster while our #corrupttory overlords loot billions and turn the planet into a baking hell.   #insulatebritain https://t.co/H5D1BBtsXH,"So 9 #InsulateBritain ""protesters"" are going to jail for defying a High Court injunction. I suspect they are genuinely surprised by this. They expected the Establishment to protect them, which is clearly what's been going on up to this point.",0
".@GOVUK JUN 2020: “The government will build back better, build back greener, build back faster.”

JAN 2021: Delayed regulations for low carbon homes until 2025 (100s of 1000s of homes built before 2025 will need retrofitting

#COP26 #InsulateBritain","If like @GretaThunberg you are hugely disappointed with the #COP26  agreement, why not have a look at this website and get information on how to #InsulateBritain (or get your landlord to) insulate your home. Please see: https://t.co/l5Ql0rCKHS #COP27",1
"@GMB #InsulateBritain don't really do any homework, they just spout their own rhetoric. If they did any digging they would see that a lot of local councils have been installing air source heating for a number of years now to try and reverse the damage done by using fossil fuels.",@gringolito @gbs2u He is part of the #InsulateBritain group and had superglued his nose to your front door….,1
"I hope all #InsulateBritain members who get put behind bars get buggered. Same as us normal public have who have been late for work, interviews, picking kids up fro school",That person have heart attack on ambulance have died while stuck on Motorway during #InsulateBritain protestors??,1
"Stand against state crackdown on Insulate Britain. The jailings are an attack on all of us. 
#InsulateBritain
https://t.co/8xm1fGlOum","@richardshears Love to see this in whitley Bay @MayorJD @NorthTyneCA
Let's #insulatebritain / north tyneside",1
"#InsulateBritain activists jailed  - there are thousands more ready to step up...I'm just one. 

Trolls - don't waste your time on me, you won't tell me anything I haven't already heard.

Disgruntled followers can unfollow. Bye 👋","Excellent news that 9 of the Insulate Britain idiots have been jailed , they were repeatedly  warned and they thought they could do whatever they wanted , hopefully more of the wasters will be joining them for a stint behind bars 👏👏👏 #InsulateBritain https://t.co/0JfoYhc5LE",0
@GMB #InsulateBritain #George  go protest in Russia snd China,"@symmo1969 ""violence from the state &amp; its agents""
Then it is a good thing that no such violence has been applied to the #InsulateBritain thugs.",1
"@CateSometimes @TTTMediaXR @GeorgeMonbiot @BBCNews #InsulateBritain is a game changer
#civil resistance ✌️
#ActionForClimate","#gretathunberg, not a word of support to #InsulateBritain #ExtinctionRebellion allowed everything and privileged",1
one of the biggest dangers from climate change is the collapse of food security. This is barely ever on the news or prominently in the media. A thread below: #InsulateBritain #ClimateEmergency https://t.co/tFPqSVxlrV,Support #InsulateBritain https://t.co/L4T6FHxO7Y,1
@artforlifept2 Ha Ha Ha PMSL @InsulateGB @XRebellionUK you 🤡🤡 you W⚓️s I hope you like prison food and I hope the food tastes funny for a long time too #InsulateBritain #ExtinctionRebellion,Irony of the insulate britain trumpets locked up hoping they get an insulated prison cell tonight #InsulateBritain should have got longer!!!,1
Being imprisoned for peacefully protesting 🚩 🚩 #InsulateBritain,@hellomarkC These heroes are trying to protect my children and yours #InsulateBritain,1
@GMB #InsulateBritain George is after an Oscar for that performance 😭😭 What an absolute helmet 😂,On the streets for the right reasons! I just hope they don't become like those #InsulateBritain freaks. https://t.co/HgmsSnV7C7,1
"We’re they deserve to be!

F*** #InsulateBritain  https://t.co/LwdECbmzjl",Will the #InsulateBritain zombies who are locked up realise their cells won’t be insulated?  Bet they won’t block the landings in the morning though,1
"Nine #Insulate #Britain activists are jailed at the High Court https://t.co/ySK7PKzCw6 via @MailOnline 
#alarmist #InsulateBritain #terroists LOCKEDUP about time don't you think, that will teach them.","@WistfulCass @extinctsymbol @XRebellionUK @InsulateLove We certainly do need to keep pushing our governments to do more for climate change.
Supporting the thugs from #ExtinctionRebellion &amp; #InsulateBritain is certainly not the solution, hijacking the environment to force on people their failed ideologies.",1
"@InsulateLove No. It was the selfish and reckless behaviour of your gang and its Thug 9 that is failing us and the environment.

It is no surprise that you are so shamelessly irresponsible that you try to blame others for your own behaviour.
#InsulateBritain","@GBNEWS #InsulateBritain ... get #Insulated!

@OldMackIsBack @andylumm 

Why is it that green campaigners are so rubbish at designing campaigns. Good work @InsulateLove - you have only set this back a decade here ... just as everyone in country was up for this ...",1
"Who knows what the sentence will be but there's a lesson here, if you can't do the time, don't do the bloody crime!
His understanding of the solutions is flawed, it's not easy to #InsulateBritain, at all! And it won't be the Government, it will be industry paid for by tax payers! https://t.co/mRFdvpyV3A","#InsulateBritain - Please stop comparing yourselves to Martin Luther King or the Suffragettes. 

You’re making yourselves look silly… 

- Message Ends -",1
"Are #InsulateBritain going to stop?

No!

Why?

Because the next three to four years will decide the future for most life on Earth, including our children's and our own.

So, ask yourself, what are you going to do?
#ActNow https://t.co/JkxW1Xq1eX","Though I've not been to prison, I know of the conditions, as many on here do. Advice for #InsulateBritain criminals, is not to glue yourself to the floor and take care in showers. You will not enjoy the experience. More #WOKE naivety. They didn't tell us about this at university!",0
They should have asked #InsulateBritain for some numbers and ideas 😂 start gluing themselves to the turnstiles https://t.co/jxyoDN5HTi,"The prosecution have said that the 9 defendants have created £91,000 in costs by blocking roads #Highway9 #InsulateBritain",1
"@NickFerrariLBC @lbc using the example of Richard Ratcliffes hunger strike as an example of ""effective action"" whilst his wife is still in prison and not knowing he ended the strike 5 days ago is peak Ferrari. Proving the #InsulateBritain point about action.","I hope the Insulate Britain saved some glue for their bum hole.

#InsulateBritain",1
"@mhh02 @msdcmarian @GMB @susannareid100 My house is fully insulated. I haven't flown for 20 years (30 long haul). I don't drive a diesel vehicle. And I'm saying we need to #InsulateBritain to cut emissions rapidly.

You can make crap up to deny what's happening. But it'll happen anyway!","Hang on,  just hang on !  ONLY 9 OF THE #InsulateBritain #ClimateCrisis #Terrorists  locked up?  What about this lot, are they going to be let off
@pritipatel? https://t.co/lobBRH15u4",0
@novaramedia @BlythBrentnall It is absolutely clear that #InsulateBritain are doing a great job in bringing these issues to the public's consciousness and demonstrating that many people care about the future of our planet. They create a space for many more to support action on climate change.,@matthewmaude @BorisJohnson @COP26 Why not just #InsulateBritain,1
Lots of love and support for the people who have risked their freedom and safety to force this incompetent UK government to act appropriately on the climate crisis #InsulateBritain https://t.co/1umTr4HJeX,Oh what a surprise #PritiPatel defaming the #InsulateBritain protestors by describing them as criminals 😳😡 https://t.co/HvwLhkM9Fe,1
police to have  new powers to stop and search #insulateBritain for glue  -  don’t police have any powers ? - Protesters originally faced 2 years in jail -  it’s now changed  to 6 months - “we did not think we would get away with it for so long” with UK justice system you can… https://t.co/fZMNfUOD22,"The fate the first round of #InsulateBritain supporters will be decided this week. 

Do you feel more likely to join them on the streets after we have seen #cop26 fall short on the necessary steps to transition away from #FossilFuels? https://t.co/8l8qp8Z5VQ",0
#InsulateBritain comparing themselves to Martin Luther King and the suffragettes? she must be off her tits surely #embarrassing 🤪 https://t.co/MaEZZUuRHI,"#insulateBritain oh I forgot they've all been sent to jail for trespassing on their own land while illegal immigrants invade The country Their ancestors fought and died for that born given Right.
land of hope and glory. Never forgotten You're welcome infidels.
@Donnabritus https://t.co/0Ya2S0GPk4",0
"BBC News - #InsulateBritain protesters jailed for defying road blockade ban
https://t.co/rlIjTyJjVG

Finally! If it ever happens again, jail them quicker. 
#insulatebritian #InsulateBritainLoonies @pritipatel @BackBoris @BorisJohnson",#Bravo 👏👏👏 #InsulateBritain you reap what you sow! https://t.co/PGd9N52lZm,1
Cant believe that #InsulateBritain protestor talked himself into another 2 months in prison 😂,"Joshua speaking from #InsulateBritain @LBC @ShelaghFogarty is the first person I've heard from the activist group that makes a lot of sense and is actually getting the message across 

I also see that he feels at a loss having explored all other options ☮ #ClimateCrisis @BBCNews",1
"#InsulateBritain Meeting their new cell mate…

What are you inside for mate?

Kidnap &amp; robbery.

What about you?

Supergluing my hands to the motorway.

#Crazyfuckers https://t.co/Gkchgi9asY",@GeorgieProRadio @InsulateLove They missed a trick there. Surely they should have glued themselves to the road in front of the gates thus stopping the prison vans from getting out. Come on #InsulateBritain We would have found that one funny!!,1
"(1/3) It's incredible that Insulate Britain has the word ""love"" in its Twitter handle -- still, I suppose it shows they've got a sense of #humour, if not a sense of proportion or morality!

#InsulateBritain #insulatebritainloonies #humor #funny #humorous https://t.co/TSlbkYUWmf",How many of those saying the #InsulateBritain protesters shouldn't have been sent to jail and their actions are justified would be saying the same if they were anti immigration protesters ??.,1
"Looking forward to #InsulateBritain complaining about their new ""Insulated digs"" in a prison near you... Merry Christmas turkeys, maybe change your name to #InsulatePrison","@bearwitness2019 Best of luck to all involved!

We should not be prosecuting good people at the bottom for taking action. 

We should be prosecuting bad people at the top for their inaction.

#InsulateBritain #ActNow #COP26Glasgow #Cop26",0
#InsulateBritain freaks get banged up… https://t.co/hQQC69yiCJ https://t.co/I8ICkWF4OQ,"@rachaelvenables @LBC If these people do not receive justifiably harsh sentences, then they will hold the rest of the UK to ransom for ever more. Fact.

#InsulateBritain",1
"I wrote this yesterday. I only found out about the prison sentences today. My piece applies to the #InsulateBritain protestors now in jail serving 3 &amp; 6 months. We need more heroes like these. @InsulateLove #InsulateBritain #ClimateAction #CopOut26 
https://t.co/f4QBrQ3wwh",#InsulateBritain 9 follow in the line of Suffragettes and the Civil Rights campaigners yet the cause they espouse it could be argued is greater than these illustrious forerunners--the extinction of all human life on Planet Earth?! Capitalism before human beings. @InsulateLove https://t.co/NCt6CNKcgX,1
@TodayorTamara Interesting from Wikipedia. mass sociogenic illness could this be responsible for the mass #ClimateCrisis #alarmism resulting in mad people gluing themselves to roads in the UK? #InsulateBritain #InsulateBritainLoonies https://t.co/B01gLoHsCs,"@chriscartw83 There's nothing else left but to rebel against the people in power
Mass Civil disobedience and peaceful  but persistent disruption
Direct action
#InsulateBritain ✌️",0
James G Anderson Harvard chemist: China and US need carbon controls immediately - Europe Japan Korea Brazil will follow. Fossil fuels must stop now. Stable state is 300ppm. Cool the planet reform ice sheets.Heat pumps not heat engines to cool and warm our #InsulateBritain houses,I do not think sending #InsulateBritain  activists to prison is in the intterests of the general public or those involved.,0
Good Lord. She’s a proper looney tune but I bloody love watching her talk utter shite. @GBNEWS @danwootton #InsulateBritain,Brilliant news for a Wednesday 👏🥳🎉🍾 #TheyGotWarned #insulatebritain https://t.co/IWcFnsXbsX,1
At least now those insulate Britain protesters who are jailed now have a nice warm room for winter and don't need to worry about insulation. Oh the irony. #InsulateBritain #Jail,#InsulateBritain Twerp on hunger strike -does anyone give a monkeys,1
"@GMB #InsulateBritain did the crime, they now deserve to do the time.
People need to update their learnings &amp; do things differently","They will be insulating their arses.... #InsulateBritain

Bend over. https://t.co/GRWCcPvze2",1
"No government wants its people to die of cold....surely?  So #InsulateBritain is making a sensible request. Why then are they vilified? Everyone should be pressing the government to act on this demand.
@XRebellionUK 
@BorisJohnson 
@XRMidlands","#jeremyvine
#insulatebritain wanting homes insulated but bang on about genocide? Are they right in the head or what?",0
"no, #InsulateBritain 's jailed protesters are not martyrs
https://t.co/zkoiW8se9O",@GMB WOW #InsulateBritain have a new spokesperson this one lining up for an Oscar!!,1
"@rachaelvenables @LBC Good, lets hope he gets a long sentance and a big fine #InsulateBritain",@Iromg Let's hope their prison cells are well insulated 😂 #InsulateBritain,1
#InsulateBritain are nothing like suffragettes. https://t.co/KFcPiOexyb,"@GMB re #InsulateBritain 
The right people at the right time for the right cause.

However, they need to target MPs and cabinet ministers, block Parliament, Downing Street block the MPs roads etc",0
"@marclolshep @damiengayle The ""right side of history"" way:
when in doubt, be a misogynist.

No surprise that someone like that would support the reckless thugs from #InsulateBritain",Insulate prisons they are bloody cold in the winter Enjoy 😂😂😂 Nine Insulate Britain activists are jailed at the High Court #InsulateBritain https://t.co/oNRvbgQ9hh via @MailOnline,1
"@danwootton Please shut this screaming banshee up! 
#InsulateBritain",#InsulateBritain need to get out there with their glue https://t.co/D6z8sdyGTa,1
@GBNEWS 🤣🤣🤣🤣 Muppets #InsulateBritain,Nine #InsulateBritain activist road blockers are now stuck…..in prison. https://t.co/ARxIJhlbjK,1
"Hard to think of any reason not to #InsulateBritain 

Radical protest towards something so obviously useful and mundane.","https://t.co/AFqnPA0QBY

Captialising on her 2 seconds of fame. Although she was right to be angry at Insert Brain, she's taking the piss out of those who have real jobs. I hope her venture fails miserably.

@insulatelove #insulatebritain #insertbrain #RangeRover #mum",0
"#InsulateBritain are not making a “sensible request” they are trying to blackmail the government by causing maximum disruption to the general public. For the lady paralysed by their selfish actions I hope they all go to jail.    Glue yourself to a politician’s drive, that’s fine. https://t.co/yLsZsQoig1",Part two - now please throw away the keys! #InsulateBritain https://t.co/4qrLjQVidF,1
"@zaktivist Let's hope that justice is done and that the Thug 9 are given the prison sentences they deserve.
#InsulateBritain",@GBNEWS #traceymallagan  #insulateBritain is just a ranty clueless fishwife. I don’t believe she knows the facts at all. she is a desperate nutter who doesn’t realise how her actions are only turning the public off her cause!,1
"@danwootton you deserve a medal the size of a frying pan keeping your cool with these #InsulateBritain 
morons. She lost her argument the moment she started getting personal.","@GBNEWS Lol, the #InsulateBritain Twat was in the road! Lol #M25",1
@GeorgeMonbiot Weeps During Heated #InsulateBritain debate these are the emotions we all need to allow if we  #TellTheTruth https://t.co/hNHnUZlYw4 via @YouTube @InsulateLove @DawnNeesom @susannareid100 yes u c the gulf: how most people &amp; media discuss it vs the terrible truth!,Obstructing a road is more serious than killing someone. #CarDependency #InsulateBritain https://t.co/iioZAb3Gbz,0
"@ROBINBLAKE83 @HelenAnnSmith0 @adamboultonSKY I think that it shows that a lot of the sentences for violent assault are a disgrace!
For #insulatebritain, I don't think anyone disagrees that insulation is a very good idea. Blocking roads was a very bad idea and so is thinking that you are above England and Wales Law!","@zerocovidzoe The fact that you believe that about the #InsulateBritain thugs just shows how ignorant and/or deceitful their fans are.

It is possible to be concerned about the future without lying.",1
"Hoping for the “Iron Fist of Justice”. 
#InsulateBritain https://t.co/cnOlyG3Lbv https://t.co/50gZDs3BlE","Instead of sending people to prison who raise the alarm,  the government should be acting to protect us from climate and ecological disaster. #InsulateBritain https://t.co/QE6ZY6XoE6",0
Fantastic news. I'll be opening a midweek red tonight and toasting the health of the judge who had the gumption to jail these dangerous #InsulateBritain fanatics. https://t.co/aUekqUUsBh,"@Barristerblog Emma is a principled, intelligent and knowledgeable person who really is a Climate hero. I salute her stance #ExtinctionRebellion #InsulateBritain",0
"Controversially, I'm not shocked or alarmed that the #InsulateBritain protestors were just jailed. Though my heart goes out to them, the point of protest is to disrupt, and inevitably, disruptive movements will face crackdowns from an cowardly govt. See you comrades in 4 months!",@Iromg @talkRADIO At least they’ll get a wash and three square meals ! #InsulateBritain 👉🏻#InsideHMPBritain lol https://t.co/pRKgGeigh7,0
"@ExtinctionR Maybe if she didn’t use so many chemical dyes for her hair and used less plastic man made clothing, she would be believable. 

My burger a day trumps her peroxide blonde dyes in the climate change stakes....

#InsulateBritain #EmmaSmart",Absolutely delighted that 9 morons from @InsulateLove have been jailed. They should have been jailed for 2 years each and should have served 12 months minimum. Great result &amp; well done to the High Court. #InsulateBritain,1
meanwhile in a contrived injunction case against #InsulateBritain ....... those with environmental integrity get sentenced to prison.... https://t.co/PMhgLPWpKQ,This is great news. I’m delighted that such strong action has been taken against these entitled @InsulateLove wasters. https://t.co/qgCvMvfJuC #insulatebritain,0
We can only hope someone glues themselves to the road when the ambulance is called to help her #InsulateBritain https://t.co/C1pqiKQuDD,"#insulateBritain wanted lagging for all, now for up to six months they have their own (personal) lags.

#jailed @GBNEWS",1
People protested about lock downs  - Nine  #InsulateBritain protesters are in lock down over #Christmas by choice lol love it !!,@GBNEWS @danwootton Why are you even giving them the time of day ? #InsulateBritain,1
"Dear Insulate Britain, when in your jail cells please feel free to glue yourselves to the floor. #insulatebritain",Nine #InsulateBritain eco-loons/terrorists have been jailed. https://t.co/bTXgy1qkFI,1
Where we suppose to put the 9 from #InsulateBritain for 12 months? No room in prison.,"Well those selfish, egotistical cunts #InsulateBritain haven't helped recently with regards getting ambulances to patients &amp; to hospital. 

At a time when the shit has already hit the fan. 

#bbcqt",1
This is why #InsulateBritain and #ExtinctionRebellion exist. https://t.co/Wjd0MDWz4d,@damiengayle Ignore #InsulateBritain advice at your peril. Karma will bite consumers this Winter. https://t.co/wmmzMWVFJN,1
#COP26 So when are the eco-terrorists going to target #India....? #ClimateCrisis #ExtinctionRebellion #InsulateBritain,"They’ve got a spell in prison and a proper criminal record for sitting on a road.
The #InsulateBritain lot really are a bit thick. 😂😂😂",1
@ShaunLintern @Independent #InsulateBritain @InsulateLove why are people not more angry with these delays to ambulances. People are dying and our government does nothing.,"@GeorgeMonbiot I actually feel the justice system has failed.. those cretins should have been imprisoned longer and I hope @BorisJohnson reflects &amp; changes laws to ensure #InsulateBritain or whoever prevents cancer patients making appts, brings a workforce to halt is punished",1
At last eco-fanatics from #InsulateBritain have been jailed for a maximum of 6 months. if the reoffend when they're out their sentences should be doubled,"Dear #InsulateBritain, given you caused me massive stress and extra expense attending my cousin's funeral, at an already extremely difficult time, I'll be toasting your prison sentence tonight. I hope every day for you is sheer hell. Here's to the judge you narcissistic twats🥂",1
"As nine #InsulateBritain activists have been jailed for breaching an injunction designed to stop them from blocking roads, fellow campaigner Cameron Ford explains why now it's the time to act https://t.co/wxZXLbIArS","Stand against state crackdown on Insulate Britain. The jailings are an attack on all of us. 
#InsulateBritain
https://t.co/8xm1fG4d5M",1
"@Channel4News @MinnieStephC4 Mulligan is right.
If the govt continues on its present course we should all be deeply concerned for the future of our children.

https://t.co/sLHDLOsypj
#InsulateBritain","@InsulateLove go on hunger strike then. Trust me, no one will care. Hope you enjoy your hunger and rot. #InsulateBritain #insulatebritainloonies

Insulate Britain activists jailed for road blocks as violent protests threatened

https://t.co/d6uR77M6WL",0
Insulate cells #insulatebritain,"“If it’s consensus then it isn’t science, if it’s science then it isn’t consensus”
Michael Chrichton 

It’s not unknown that many scientists were opposed by false consensus. 

Climate alarmists do not hold the absolute facts or truth.

That is the only fact.
#InsulateBritain #XR",1
"“3 months Your Honour? I can do that standing on my head then go block the roads again” 
“Well in that case here’s another 3 months to get you back on your feet. Take him down”
#InsulateBritain 
#NotLongEnough","@BurningClock @campbellclaret @InsulateLove Don't forget the brainocide that is first needed to indulge in such hyperbole as ""ecocide"",...
#InsulateBritain @InsulateLove #ExtinctionRebellion",0
That’ll show them. Former doctor with large pension &amp; the other one for private practice stopping people getting to work to earn some money covers himself in ink. #InsulateBritain https://t.co/kGnVvspoKO,Talking On @JeremyVineOn5 about long overdue jail sentences for eve fanatics from #InsulateBritain,1
How many delayed by the  #InsulateBritain  #protests   recognise this idiot? https://t.co/ZhvdqLp64T,"@Eco_melon @ccatherinemaire Of course, you can consider #InsulateBritain heroes.
Sadly, some people consider the BNP heroes. Or their far-left counterparts like Momentum and the SWP.
But their selfish performances do no good for the rest of us or the environment.
I hope others learn from their awful example",1
"@JamesGRickards #InsulateBritain, protect yourself from the coming cooling",#c4news they don't help themselves but imprisoning anyone including #InsulateBritain  protesters for non- violent acts is fruitless,0
@danwootton @GBNEWS Dan your patience is astounding #insulateBritain 🙈,"@bearwitness2019 Has the powerful understood we are not going to allow their 'accidental' extinction any more?

Thank you so much for standing up for us all!

#InsulateBritain @ExtinctionR 
https://t.co/0kReo8hdOI",0
"Emma Smart, a scientist with #InsulateBritain, will be going on a hunger strike whilst in prison 🙏
https://t.co/MUUe8nHvRE","Ive sent a message to the prisoners saying that each of them has a baggy of weed up their bum,who ever finds it gets to keep it.

#InsulateBritain  #TightCheeks #NotaOneWayStreet",0
"@InsulateGB #InsulateBritain 

#Hunger #Strike 

wasting your time.

#MentalHealthAwareness 

been there, done that. 

#prisonbreak 

#news 

#RiseUp 

#ActNow 

#ExtinctionRebellion 

#Wisdom 

#EducationSupportProfessionalsDay 

#ClimateCrisis 

#Politics 
#crime #C4News",@LBC @Shell moves its HQ to UK. Trust.🌍🔥🇬🇧@AlokSharma_RDG #CopOut26 @BorisJohnson #ClimateCrisis @GretaThunberg @joelycett @Channel4News @ExtinctionR #InsulateBritain,1
"@GordonM64982417 @pritipatel Since we are shouting...WELL SAID GORDON I COULDN'T AGREE WITH YOU MORE SIR!
Just for interest in the press photos this protestor was in most shots.  
Who is he and did he stay off the roads when the injunction was issued? 
#InsulateBritain #ClimateCrisis #ExtinctionRebellion https://t.co/8POhPyDMRw",Support what these people protest against but sometimes not the way by blocking roads stopping people getting to work etc but rapists paedophiles drink drivers &amp; burglars get less sentences #InsulateBritain #insulatebritian https://t.co/0kD7j9s15m,0
"Bye for now, hope don’t get used as the big lads insulation in your cells. #insulatebritain

https://t.co/7EmCJE8xgZ","Utterly shameful that people are now in jail for protesting, the UK can no longer claim to be either a free country or a democracy.

Nine #InsulateBritain activists jailed.

#ClimateCatastrophe 
#ToryCoruption
 https://t.co/HcBcRSZWh4",0
Pass me the violin… the whole stinking lot of you should be jailed. You caused misery to thousands of people every day with your ridiculous antics. Not to mention killed a woman who had a stroke and couldn’t get to hospital. #InsulateBritain https://t.co/nonndaLHOm,"@JeremyVineOn5 Yet a few weeks ago you were lambasting them....

Jeeze, just how low can your show go. #InsulateBritain",1
"9 #InsulateBritain protesters have been jailed 3 to 6 mths for breaching an injunction preventing road blockades after a wave of protests 2 months ago, blocking the M25 roads in London &amp; elsewhere in the UK

Maybe now these Climate Freaks will stop glueing themselves to the roads https://t.co/6hHIeHG9Z8","@OliverDowden @Conservatives Why not just #InsulateBritain? 

You always seem to find enough money for #ToryDonors. 🤷‍♀️ https://t.co/oQSO240DZA",0
@GabrielShoo #insulatebritain have upped their game,"- 9 insulate Britain protesters jailed for trying to save the planet. 

- No conservative MPs jailed for stealing from the public during a pandemic. 

#takebackBritain #RiseUp #ToryCorruption #insulatebritain",1
"Is it just me that thinks that the insulate Britain mob are the oldest “Renta Mob” in town…
Talk about a bunch of selfish cnuts old enough to know better..
Their selfish actions have blown any support.
#OldFools #insulatebritainloonies #InsulateBritain #M25","@FFF_Scotland @FFFMAPA No more blah blah blah words
Non-violent resistance is now a moral necessity.
#directaction 
#InsulateBritain 
#Civildisobedience
#ClimateJustice",0
@danwootton that Tracey women from #insulateBritain causing a hole in the ozone layer with all that hot air and methane,@GMB #InsulateBritain have a good cause but are protesting in the wrong way. We have the most corrupt and greedy govt ever.  Why are they not being targeted instead of people struggling to earn a living? #toriesonthetake #ToriesOnTheTake #ToryCorruption #TorySleaze,1
"If you are anti-NFT, you are for the destruction of the environment, that is a FACT #green #eco #xr #extinctionrebellion #InsulateBritain #greenparty #environmentalism 

Adopt NFT technology RIGHT FUCKING NOW to save the environment

https://t.co/eDIRLuJVpe",#InsulateBritain whats going on! There are grants &amp; help out there to have your home insulated. What more do you want other than a sense check!! You should be ashamed of yourselves holding up emergency services &amp; people who have to work for a living. What jobs do you hold?!? https://t.co/gdZievE41F,0
"Protest groups like #InsulateBritain don't help the environment by recklessly blocking motorists...

That's why the increased penalties in the @Conservatives #PolicingBill are important and welcome...

#BackTheBill

https://t.co/htZAkB6YWE","For the sake of your country's wellbeing, if nothing else, @BorisJohnson , INSULATE BRITAIN 
#InsulateBritain https://t.co/UxsoNpYFkt",0
@PeterG4NES2019 @XRebellionUK The actual difference is that #InsulateBritain thought they were too privileged to have to face any consequences from their reckless and selfish actions.,"Has anyone noticed that now it’s turned cold, you don’t see #InsulateBritain glueing themselves to the m25 any more!",1
"He seems a bit more lucid than that beardy nutter..
#InsulateBritain @GBNEWS",@fredwibblington @lnn1910ann Do you not find something weird about Schapps taking out a super-injunction to circumvent the actual law of the land? To stop people demanding we #InsulateBritain to decrease our carbon footprint?  Undemocratic in the extreme.,0
Did she just compare the process of insulating homes to the struggles of women &amp; black people fighting for equality!?? What an over privileged arsehole! These people need a dose of real struggle to gain some perspective 🤦‍♀️#insulatebritain https://t.co/hRbq5v69SG,"@endhunting @InsulateLove And some of the ringleaders from #InsulateBritain have partners that make over £170k a year.

That some of these Thug 9 criminals are (allegedly) on universal credit is not an excuse for their reckless crimes.",1
"Let's remember that in the weeks that #InsulateBritain were protesting, Priti Patel's Government *did* stand by &amp; do nothing, despite #COP26 approaching, when *all they needed to do to end protests was announce a credible policy to insulate UK homes*...

#ClimateChange https://t.co/LPLX9og59l","All this after governments of the global north have failed to step up and act on the climate crisis, causing even more “significant harm” to millions around the world.
#InsulateBritain #Climate #COP26 https://t.co/UOjQrc8DWx",1
"Insulate Britain can keep yelling all they like. I’m not gonna listen. In fact, I’ll be doing the total opposite to what they want🥳🥳 #InsulateBritain","Everyone cheering for Range Rover Mum and cheering on the #InsulateBritain 's jail sentence should print off their tweets. 20 years from now when climate emergency is killing many of us, I hope you're still so cheerful especially if you're on the receiving end.",0
#InsulateBritain 23 more due in Court in coming weeks for Contempt of Court  . if you can’t do the time don’t do the crime #Extremists https://t.co/vlNxsI1kwp,Couple of little jobs on the go 👌🏻 #render #siliconerender #insulation #InsulateBritain https://t.co/gdTZEuKj3M,0
Excellent news that a group of these Insulate Britain morons have been rightly sent to prison for their disgusting actions in disrupting ordinary working people doing their jobs. Hopefully Christmas inside will put some sense in their heads #InsulateBritain,It has begun... I feel sick... How many of us will be imprisoned before we get the change that is needed? #ClimateJustice #climatecatastrophe #InsulateBritain https://t.co/vG6FyRXzRQ,0
Both cut from the same cloth and branded criminals by the establishment! #InsulateBritain #COP26 https://t.co/erHjfLVZnw,"I'm Thinking... 
Fuck OFF' doesn't Mean Go Away.z 
fuck off ""Means""- FUCK-OFF
Romeo Juliet bravo.. -/\--/\-
#insulateBritain https://t.co/3btqDj7SoZ",0
"@mcharlesworth71 How many more thugs will be imprisoned before they change their selfish and reckless stunts?

As many as it takes is what ordinary decent people are hoping. And today a judge has done the right thing with this important ruling
#ClimateJustice #climatecatastrophe #InsulateBritain",@GMB people trying to save our planet from climate change should not have gone to prison. I am worried about the world state for my children and eventual grand children. Something drastic needs to happen. #InsulateBritain,0
"Well Ben you will have a lot of time in prison to lay down. 
#InsulateBritain Benjamin Buse on his way to his cell and new friends. https://t.co/LprxswEHPK",@symmo1969 An actual slippery slope to #DeathOfDemocracy  #CreepingAuthoritarianism would be to let the #Thug9 criminals from #InsulateBritain go free because you like them.,1
"@guardian @brandonmscales Amazing that in the this whole piece, not one person went into what the many benefits of insulation were, what the complexities are or how they intend to achieve this, apart from stopping traffic.
Glue and protest wont #InsulateBritain.","""Eco mob behind bars for M25 travel chaos""
#Woke Middle Class white people with dodgy hair go to jail.
In a sea of bad news, finally something good!!!
#InsulateBritain 
https://t.co/MBTTQXi6Mw",1
